# --------------------------------------------------
# nrow : 111
# ncol : 12
# comment : AMS of AWRA cookies
# time_generated : 2026-07-03 10:51:09
# author : ler015
# source_file : /datasets/work/lw-resilient-nr/work/0_Common_Data/8_DataProcessingScripts/nrivdatascripts/scripts/awra/AWR041_ams_cookies.py
# work_dir : /datasets/work/lw-resilient-nr/work/0_Common_Data/8_DataProcessingScripts/nrivdatascripts
# python_environment posix
# python_version : 3.12.9 | packaged by Anaconda, Inc. | (main, Feb  6 2025, 18:56:27) [GCC 11.2.0]
# pandas_version : 3.0.3
# numpy_version : 2.5.0
# python_inc : /home/ler015/miniconda3/include/python3.12
# python_lib : /datasets/work/lw-resilient-nr/work/0_Common_Data/8_DataProcessingScripts/nrivdatascripts/.venv/lib/python3.12/site-packages
# --------------------------------------------------
WATER_YEAR_START,203010_PRECIPITATION_TIMEPEAK,203010_PRECIPITATION_PEAK,203010_PRECIPITATION_NVALID,203010_PRECIPITATION_DAYOFYEAR,203010_QTOT_TIMEPEAK,203010_QTOT_PEAK,203010_QTOT_NVALID,203010_QTOT_DAYOFYEAR,203010_SMPFULL_TIMEPEAK,203010_SMPFULL_PEAK,203010_SMPFULL_NVALID,203010_SMPFULL_DAYOFYEAR
1998-10-01,1999-04-11 09:00:00,82.37450,364,192,1999-04-11 09:00:00,27.93922,364,192,1999-04-11 09:00:00,0.80449,364,192
1999-10-01,2000-01-14 09:00:00,79.21638,365,105,2000-01-15 09:00:00,16.68167,365,106,2000-01-14 09:00:00,0.72910,365,105
2000-10-01,2001-02-02 09:00:00,253.76740,364,124,2001-02-02 09:00:00,68.41984,364,124,2001-02-02 09:00:00,0.84347,364,124
2001-10-01,2002-06-03 09:00:00,48.35717,364,245,2002-06-03 09:00:00,1.83044,364,245,2002-06-17 09:00:00,0.61663,364,259
2002-10-01,2003-02-02 09:00:00,56.79252,364,124,2003-06-27 09:00:00,9.87467,364,269,2003-06-27 09:00:00,0.75545,364,269
2003-10-01,2004-03-06 09:00:00,161.40225,365,157,2004-03-06 09:00:00,37.49434,365,157,2004-03-06 09:00:00,0.82835,365,157
2004-10-01,2005-06-30 09:00:00,144.82324,364,272,2005-06-30 09:00:00,34.70844,364,272,2005-06-30 09:00:00,0.81009,364,272
2005-10-01,2006-01-09 09:00:00,100.36655,364,100,2006-03-06 09:00:00,29.93270,364,156,2006-01-20 09:00:00,0.80023,364,111
2006-10-01,2007-08-22 09:00:00,48.49614,364,325,2006-11-10 09:00:00,2.24900,364,40,2006-11-10 09:00:00,0.66538,364,40
2007-10-01,2008-01-05 09:00:00,149.10837,365,96,2008-01-05 09:00:00,68.20827,365,96,2008-01-05 09:00:00,0.83102,365,96
2008-10-01,2009-05-21 09:00:00,130.28925,364,232,2009-05-22 09:00:00,54.35198,364,233,2009-05-22 09:00:00,0.82556,364,233
2009-10-01,2010-02-07 09:00:00,76.85185,364,129,2010-03-03 09:00:00,16.06351,364,153,2010-03-03 09:00:00,0.75324,364,153
2010-10-01,2010-12-28 09:00:00,82.49385,364,88,2010-12-28 09:00:00,35.94555,364,88,2010-12-28 09:00:00,0.80591,364,88
2011-10-01,2012-01-25 09:00:00,95.84068,365,116,2012-01-26 09:00:00,36.41742,365,117,2012-01-26 09:00:00,0.79695,365,117
2012-10-01,2013-01-28 09:00:00,121.93796,364,119,2013-02-23 09:00:00,46.19270,364,145,2013-02-23 09:00:00,0.81555,364,145
2013-10-01,2014-03-28 09:00:00,118.74727,364,178,2014-08-28 09:00:00,11.29086,364,331,2014-03-28 09:00:00,0.77353,364,178
2014-10-01,2015-05-02 09:00:00,133.98958,364,213,2015-02-22 09:00:00,29.95044,364,144,2015-05-02 09:00:00,0.80604,364,213
2015-10-01,2016-06-04 09:00:00,109.45746,365,247,2016-06-05 09:00:00,23.15213,365,248,2016-06-05 09:00:00,0.93785,365,248
2016-10-01,2017-03-31 09:00:00,289.66333,364,181,2017-03-31 09:00:00,95.69087,364,181,2017-03-31 09:00:00,0.99730,364,181
2017-10-01,2017-10-15 09:00:00,78.04860,364,14,2018-03-07 09:00:00,12.24908,364,157,2018-03-07 09:00:00,0.89736,364,157
2018-10-01,2018-10-15 09:00:00,47.63353,364,14,2018-10-17 09:00:00,6.15882,364,16,2018-10-17 09:00:00,0.87209,364,16
2019-10-01,2020-01-18 09:00:00,109.74890,365,109,2020-02-14 09:00:00,48.81596,365,136,2020-02-14 09:00:00,0.96748,365,136
2020-10-01,2020-12-15 09:00:00,137.65361,364,75,2020-12-15 09:00:00,49.77025,364,75,2020-12-15 09:00:00,0.97938,364,75
2021-10-01,2022-02-28 09:00:00,434.84650,303,150,2022-03-01 09:00:00,159.31186,303,151,2022-02-28 09:00:00,0.99933,303,150
