# --------------------------------------------------
# nrow : 111
# ncol : 12
# comment : AMS of AWRA cookies
# time_generated : 2026-07-03 10:47:02
# author : ler015
# source_file : /datasets/work/lw-resilient-nr/work/0_Common_Data/8_DataProcessingScripts/nrivdatascripts/scripts/awra/AWR041_ams_cookies.py
# work_dir : /datasets/work/lw-resilient-nr/work/0_Common_Data/8_DataProcessingScripts/nrivdatascripts
# python_environment posix
# python_version : 3.12.9 | packaged by Anaconda, Inc. | (main, Feb  6 2025, 18:56:27) [GCC 11.2.0]
# pandas_version : 3.0.3
# numpy_version : 2.5.0
# python_inc : /home/ler015/miniconda3/include/python3.12
# python_lib : /datasets/work/lw-resilient-nr/work/0_Common_Data/8_DataProcessingScripts/nrivdatascripts/.venv/lib/python3.12/site-packages
# --------------------------------------------------
WATER_YEAR_START,RICHMOND_PRECIPITATION_TIMEPEAK,RICHMOND_PRECIPITATION_PEAK,RICHMOND_PRECIPITATION_NVALID,RICHMOND_PRECIPITATION_DAYOFYEAR,RICHMOND_QTOT_TIMEPEAK,RICHMOND_QTOT_PEAK,RICHMOND_QTOT_NVALID,RICHMOND_QTOT_DAYOFYEAR,RICHMOND_SMPFULL_TIMEPEAK,RICHMOND_SMPFULL_PEAK,RICHMOND_SMPFULL_NVALID,RICHMOND_SMPFULL_DAYOFYEAR
1996-10-01,1997-02-15 09:00:00,48.57262,364,137,1997-02-17 09:00:00,6.80153,364,139,1997-02-28 09:00:00,0.69300,364,150
1997-10-01,1998-02-10 09:00:00,46.46043,364,132,1998-09-12 09:00:00,1.87095,364,346,1998-02-13 09:00:00,0.55082,364,135
1998-10-01,1999-04-11 09:00:00,56.54116,364,192,1999-03-04 09:00:00,19.44576,364,154,1999-03-04 09:00:00,0.76134,364,154
1999-10-01,2000-01-14 09:00:00,56.75549,365,105,2000-01-15 09:00:00,8.85268,365,106,2000-01-15 09:00:00,0.63739,365,106
2000-10-01,2001-02-02 09:00:00,187.16241,364,124,2001-02-02 09:00:00,46.80153,364,124,2001-02-02 09:00:00,0.80937,364,124
2001-10-01,2001-11-27 09:00:00,44.02584,364,57,2002-06-03 09:00:00,2.79855,364,245,2001-11-28 09:00:00,0.56437,364,58
2002-10-01,2003-02-24 09:00:00,59.90474,364,146,2003-04-29 09:00:00,7.72672,364,210,2003-03-14 09:00:00,0.70535,364,164
2003-10-01,2004-03-06 09:00:00,109.06664,365,157,2004-03-06 09:00:00,19.36931,365,157,2004-03-06 09:00:00,0.78377,365,157
2004-10-01,2005-06-30 09:00:00,151.50414,364,272,2005-06-30 09:00:00,34.75424,364,272,2005-06-30 09:00:00,0.76879,364,272
2005-10-01,2006-03-04 09:00:00,77.28008,364,154,2006-01-21 09:00:00,21.35665,364,112,2006-01-20 09:00:00,0.76767,364,111
2006-10-01,2007-08-21 09:00:00,49.15363,364,324,2006-11-10 09:00:00,2.15474,364,40,2006-11-10 09:00:00,0.60421,364,40
2007-10-01,2008-01-05 09:00:00,119.53841,365,96,2008-01-05 09:00:00,40.37168,365,96,2008-01-05 09:00:00,0.79023,365,96
2008-10-01,2009-05-22 09:00:00,147.48578,364,233,2009-05-22 09:00:00,53.52801,364,233,2009-05-22 09:00:00,0.79712,364,233
2009-10-01,2010-03-03 09:00:00,62.76326,364,153,2010-03-03 09:00:00,18.86056,364,153,2010-03-03 09:00:00,0.75370,364,153
